A12 50 A33 A44 4497 A61 A74 2 A92 A101 3 A124 30 A143 A153 1 A173 2 A191 A201 2
A14 15 A30 A49 9470 A61 A74 3 A93 A101 4 A124 36 A143 A152 3 A172 2 A191 A201 1
A14 65 A32 A42 10953 A61 A75 3 A94 A101 1 A124 74 A143 A151 1 A174 2 A191 A201 1
A13 11 A32 A49 15722 A61 A74 3 A93 A101 1 A123 64 A143 A152 1 A173 2 A192 A201 1
A11 24 A34 A45 16904 A61 A75 4 A93 A101 4 A122 65 A143 A153 4 A173 1 A191 A201 1
A11 28 A32 A43 17820 A61 A72 4 A93 A101 1 A124 33 A141 A152 2 A173 2 A191 A201 2
A11 15 A32 A46 12642 A61 A73 3 A91 A101 4 A121 55 A143 A152 3 A173 1 A192 A201 1
A14 18 A32 A48 12206 A61 A75 1 A94 A101 3 A124 34 A143 A153 1 A174 2 A192 A201 1
A14 62 A33 A45 15891 A62 A73 1 A92 A101 2 A124 23 A141 A153 3 A174 2 A191 A201 2
A14 29 A31 A44 14248 A61 A72 2 A94 A101 4 A123 20 A143 A152 2 A173 1 A192 A201 1
A11 29 A32 A45 6555 A65 A73 1 A93 A101 2 A124 70 A143 A152 3 A174 1 A191 A201 1
A14 50 A32 A44 12971 A65 A72 2 A93 A101 2 A124 46 A142 A152 3 A171 1 A192 A201 1
A14 35 A32 A48 7245 A61 A72 4 A93 A101 4 A121 59 A141 A152 3 A174 1 A191 A201 1
A11 13 A32 A40 12677 A64 A75 4 A93 A101 1 A123 72 A143 A152 4 A173 2 A192 A201 1
A11 19 A33 A46 14032 A64 A73 1 A93 A101 3 A121 45 A143 A152 2 A173 2 A191 A201 2
A11 20 A34 A410 2480 A65 A73 4 A91 A101 2 A122 49 A143 A152 2 A173 1 A192 A201 1
A12 26 A32 A410 6761 A61 A75 3 A93 A101 3 A121 59 A141 A151 3 A173 1 A191 A201 1
A12 29 A34 A41 16762 A61 A75 3 A93 A101 2 A122 54 A141 A151 3 A172 2 A191 A201 2
A12 10 A32 A49 9711 A62 A73 1 A93 A101 4 A124 65 A143 A152 2 A174 2 A191 A201 1
A12 17 A31 A40 5015 A62 A73 1 A93 A101 1 A124 61 A143 A152 1 A174 1 A191 A201 1
A14 10 A31 A410 13522 A62 A75 2 A92 A101 3 A122 19 A143 A152 4 A172 2 A192 A201 1
A11 12 A32 A45 5802 A61 A74 4 A92 A101 2 A123 68 A143 A151 2 A172 2 A192 A201 1
A12 51 A34 A49 877 A65 A74 2 A93 A101 4 A123 47 A141 A152 3 A174 1 A192 A201 1
A12 62 A33 A40 12239 A65 A75 2 A92 A101 4 A124 19 A143 A151 1 A173 1 A192 A201 2
A12 42 A34 A43 14030 A61 A74 3 A92 A101 2 A122 26 A143 A152 1 A172 1 A192 A201 1
A14 21 A32 A43 6839 A61 A73 3 A93 A101 2 A123 34 A143 A152 1 A173 1 A192 A201 1
A11 62 A32 A49 2294 A61 A74 3 A93 A101 2 A124 46 A143 A152 4 A173 2 A191 A201 1
A12 20 A32 A44 13421 A65 A73 3 A93 A101 1 A122 40 A143 A152 4 A172 1 A192 A201 2
A13 17 A32 A44 6134 A62 A75 2 A92 A101 2 A124 36 A141 A152 2 A173 2 A191 A201 1
A11 34 A32 A45 8435 A62 A74 3 A93 A101 2 A124 40 A143 A152 2 A173 2 A192 A201 2
A14 27 A31 A40 499 A61 A72 4 A92 A101 1 A124 59 A143 A152 2 A172 2 A192 A201 1
A11 63 A32 A40 17608 A61 A73 3 A93 A101 4 A121 30 A143 A152 2 A174 2 A192 A202 2
A11 48 A32 A49 9425 A61 A73 3 A92 A101 2 A122 37 A143 A151 3 A173 1 A192 A201 2
A14 6 A34 A42 16510 A61 A73 3 A93 A101 3 A124 43 A143 A152 4 A173 2 A191 A201 2
A14 40 A34 A43 2922 A64 A74 1 A93 A101 4 A122 68 A143 A151 1 A172 1 A192 A201 1
A14 46 A34 A40 7529 A65 A73 4 A93 A102 3 A123 23 A141 A151 3 A172 2 A192 A201 1
A12 43 A33 A49 8912 A65 A75 4 A93 A101 2 A121 52 A143 A152 2 A173 1 A192 A201 1
A11 58 A32 A48 2237 A65 A72 2 A93 A101 1 A121 57 A143 A152 2 A172 2 A192 A201 1
A14 42 A33 A41 16724 A61 A74 2 A92 A101 1 A122 28 A143 A152 3 A173 2 A192 A201 2
A12 18 A34 A48 13198 A61 A75 3 A93 A101 1 A123 65 A143 A152 1 A172 1 A192 A201 1
A11 7 A32 A46 13276 A63 A74 1 A92 A103 2 A122 25 A141 A151 4 A173 1 A192 A202 1
A12 28 A32 A45 3023 A65 A73 2 A93 A101 2 A123 55 A143 A153 4 A173 1 A192 A201 1
A11 16 A34 A40 13409 A61 A75 2 A93 A101 3 A123 65 A143 A151 1 A173 1 A192 A201 1
A14 36 A32 A46 10128 A61 A73 3 A92 A101 1 A123 70 A143 A152 4 A173 2 A192 A201 1
A11 19 A32 A410 10428 A61 A71 3 A93 A101 2 A123 70 A143 A151 2 A174 2 A192 A201 1
A14 45 A32 A46 10627 A62 A73 2 A92 A101 4 A122 33 A143 A152 2 A173 2 A192 A202 2
A12 69 A32 A49 7597 A61 A71 2 A92 A101 2 A122 60 A143 A152 2 A173 2 A191 A201 1
A12 58 A32 A40 1258 A61 A75 4 A94 A103 2 A121 42 A143 A151 2 A173 2 A192 A201 1
A13 45 A32 A41 4033 A61 A72 1 A93 A101 4 A123 44 A143 A152 1 A174 1 A192 A201 1
A11 37 A30 A49 4548 A61 A75 4 A93 A101 1 A123 44 A143 A151 4 A172 1 A191 A201 2
A14 33 A30 A49 4918 A65 A75 2 A93 A101 4 A122 64 A143 A152 4 A173 2 A191 A201 1
A14 16 A34 A45 2302 A61 A72 4 A92 A101 1 A122 44 A143 A152 3 A173 1 A191 A201 1
A14 16 A32 A45 1966 A62 A74 4 A94 A101 4 A123 28 A143 A152 1 A173 2 A192 A201 1
A14 21 A32 A43 560 A62 A71 2 A92 A101 3 A121 35 A143 A152 4 A173 2 A191 A201 1
A13 35 A32 A43 14641 A65 A73 3 A92 A101 1 A124 71 A141 A151 4 A173 1 A192 A201 1
A14 42 A34 A44 1510 A61 A71 2 A93 A101 2 A121 32 A143 A152 3 A172 2 A192 A201 2
A11 49 A32 A42 13407 A65 A75 3 A93 A103 3 A124 20 A143 A152 2 A174 1 A192 A201 1
A11 32 A32 A40 11710 A61 A75 2 A93 A101 1 A122 66 A143 A152 4 A172 2 A191 A201 1
A11 65 A34 A40 17218 A65 A72 2 A92 A101 1 A122 31 A143 A153 2 A172 1 A192 A201 1
A12 65 A34 A46 14261 A65 A72 2 A92 A101 1 A121 45 A143 A152 3 A173 2 A192 A201 1
A12 60 A32 A40 3116 A61 A75 1 A92 A101 4 A121 27 A141 A153 4 A173 2 A191 A201 1
A12 19 A34 A40 14615 A61 A73 3 A94 A101 1 A121 25 A143 A152 2 A173 1 A192 A201 2
A14 59 A32 A42 6148 A61 A75 1 A92 A101 2 A121 66 A143 A152 1 A174 2 A192 A201 1
A12 13 A32 A410 6501 A61 A74 2 A93 A101 1 A123 28 A143 A152 2 A172 2 A192 A201 1
A12 33 A32 A43 5189 A61 A73 4 A93 A101 2 A122 74 A143 A152 2 A173 1 A192 A201 1
A13 28 A31 A43 4256 A61 A75 1 A93 A101 2 A124 72 A143 A152 2 A173 1 A191 A201 2
A11 8 A34 A41 1875 A61 A73 3 A93 A101 2 A121 27 A143 A151 2 A174 1 A191 A201 1
A14 68 A32 A40 11206 A61 A75 2 A92 A101 3 A124 40 A143 A151 1 A173 2 A191 A201 1
A11 52 A32 A42 17524 A61 A75 1 A92 A101 2 A123 41 A143 A152 3 A172 1 A192 A201 1
A14 6 A34 A43 6328 A61 A72 4 A93 A101 4 A121 25 A143 A152 2 A173 1 A192 A201 2
A14 48 A34 A42 9173 A61 A71 1 A92 A101 1 A122 66 A143 A152 2 A173 1 A192 A201 1
A11 17 A32 A48 4211 A61 A75 3 A93 A101 4 A121 27 A143 A151 4 A173 2 A191 A201 1
A11 33 A32 A410 9056 A61 A75 1 A93 A101 3 A121 45 A143 A152 4 A174 1 A192 A201 2
A14 71 A32 A40 18353 A61 A71 4 A93 A102 1 A122 42 A143 A153 1 A173 2 A192 A201 1
A14 21 A34 A41 13808 A65 A75 4 A92 A101 2 A123 47 A143 A151 1 A173 2 A191 A201 1
A14 65 A33 A46 6936 A61 A73 3 A94 A101 1 A124 35 A143 A151 1 A173 1 A192 A201 1
A14 40 A34 A43 1837 A61 A73 4 A92 A101 3 A122 38 A143 A152 4 A173 2 A192 A201 1
A11 28 A31 A48 10053 A61 A75 2 A93 A101 3 A124 25 A141 A152 2 A172 2 A191 A201 1
